SLOT,valor_hoje,valor_d1,valor_d7,valor_media_mes,frac_hist,acum_hoje,acum_d1,acum_d7,acum_media_mes,ritmo_vs_d1,ritmo_vs_d7,ritmo_vs_media
09:15,51783.76,26584.9,21447.67,21725.884642857145,0.09163008025616586,387690.54,172933.06,142101.39,159198.2270822185,2.2418532350031857,2.728267049323022,2.435269205603501
09:30,40570.63,21494.61,19479.98,24934.457142857143,0.10646801318004136,428261.17,194427.66999999998,161581.37000000002,184132.68422507565,2.2026760388580495,2.650436557135268,2.3258291802041646
09:45,44537.03,15203.01,33194.4,26264.414285714283,0.12283197496931779,472798.19999999995,209630.68,194775.77000000002,210397.09851078992,2.2553864730105344,2.427397411906008,2.2471707231064935
10:00,47355.13,22127.37,22182.05,27321.450357142858,0.1395426825905005,520153.32999999996,231758.05,216957.82,237718.54886793278,2.244380853221711,2.39748597215809,2.1881057766719625
10:15,46040.12,23040.84,16983.92,26232.863928571427,0.15585882238391635,566193.45,254798.88999999998,233941.74,263951.4127965042,2.2221189817585154,2.420232704091198,2.145066942439562
10:30,56084.36,26097.83,28414.49,30216.352857142858,0.17436331279425374,622277.8099999999,280896.72,262356.23,294167.7656536471,2.2153260102147154,2.371881201372653,2.115384085735177
10:45,48955.3,29631.02,19140.43,30535.15392857143,0.1933358570647985,671233.11,310527.74,281496.66,324702.9195822185,2.161588236851239,2.3845153615677006,2.067222280796388
11:00,47568.57,27207.25,20499.22,29782.036428571428,0.21131475539603778,718801.6799999999,337734.99,301995.88,354484.95601078996,2.1283008905888017,2.3801704844450193,2.0277353603071404
11:15,78535.58,34634.19,28064.56,31752.348928571428,0.22994370603276607,797337.2599999999,372369.18,330060.44,386237.3049393614,2.1412547085663745,2.4157310703457826,2.0643714364286496
11:30,68267.83,29057.81,23790.93,29964.945714285714,0.24849571291706948,865605.0899999999,401426.99,353851.37,416202.2506536471,2.156320106926542,2.4462391935913654,2.07977032474131
11:45,49484.66,19943.64,24474.92,30016.45,0.2674871190854722,915089.7499999999,421370.63,378326.29,446218.70065364713,2.1716979894873067,2.4187844571943438,2.0507651262923834
12:00,53159.04,18182.05,21547.24,26084.1475,0.2837352525288983,968248.7899999999,439552.68,399873.52999999997,472302.84815364715,2.202804883364606,2.421387557210901,2.050059180852143
12:15,55634.89,26870.31,27087.81,25815.456071428573,0.2997575529542634,1023883.6799999999,466422.99,426961.33999999997,498118.3042250757,2.1951827031510605,2.398071169628613,2.055503022706341
12:30,57013.74,22945.79,17436.97,23982.624642857143,0.3144963189531037,1080897.42,489368.77999999997,444398.30999999994,522100.9288679328,2.208758433670411,2.432271670880117,2.0702844224845585
12:45,52303.84,30156.58,24256.58,26256.485714285714,0.33036916721808596,1133201.26,519525.36,468654.88999999996,548357.4145822185,2.1812241465941145,2.4179866340453637,2.0665376812007934
13:00,45707.97,22155.4,19014.66,25359.247499999998,0.3458514704553569,1178909.23,541680.76,487669.54999999993,573716.6620822186,2.1763911828804847,2.4174345722426183,2.0548631544381606
13:15,49098.87,24619.59,27338.76,26565.22107142857,0.36170760012997805,1228008.1,566300.35,515008.30999999994,600281.8831536472,2.1684749091184568,2.384443272381372,2.0457190770917886
13:30,54542.57,23759.93,25895.96,28192.01142857143,0.3782939779640049,1282550.6700000002,590060.28,540904.2699999999,628473.8945822186,2.1735926200624793,2.3711232118762906,2.0407381771244175
13:45,54741.79,22523.43,25016.44,29323.643571428573,0.3957901308455782,1337292.4600000002,612583.7100000001,565920.7099999998,657797.5381536472,2.1830362743403673,2.3630385606492483,2.0329848964676995
14:00,48177.29,18191.56,23064.35,26948.052499999998,0.4118505142357715,1385469.7500000002,630775.2700000001,588985.0599999998,684745.5906536472,2.1964554032056456,2.3523003282969532,2.023335044300837
