DATA,JANELA_15MIN,VALOR_TOTAL_15M
2025-10-24,2025-10-24 15:45:00.000,12948.37
2025-10-24,2025-10-24 16:00:00.000,13732.22
2025-10-24,2025-10-24 16:15:00.000,26296.65
2025-10-24,2025-10-24 16:30:00.000,15174.23
2025-10-24,2025-10-24 16:45:00.000,10558.43
2025-10-24,2025-10-24 17:00:00.000,10708.27
2025-10-24,2025-10-24 17:15:00.000,27146.28
2025-10-24,2025-10-24 17:30:00.000,24708.95
2025-10-24,2025-10-24 17:45:00.000,10538.38
2025-10-24,2025-10-24 18:00:00.000,13681.6
2025-10-24,2025-10-24 18:15:00.000,16759.41
2025-10-24,2025-10-24 18:30:00.000,15399.73
2025-10-24,2025-10-24 18:45:00.000,13019.25
2025-10-24,2025-10-24 19:00:00.000,16802.82
2025-10-24,2025-10-24 19:15:00.000,10580.01
2025-10-24,2025-10-24 19:30:00.000,12710.04
2025-10-24,2025-10-24 19:45:00.000,13319.72
2025-10-24,2025-10-24 20:00:00.000,14892.9
2025-10-24,2025-10-24 20:15:00.000,10664.75
2025-10-24,2025-10-24 20:30:00.000,9173.82
2025-10-24,2025-10-24 20:45:00.000,6591.43
2025-10-24,2025-10-24 21:00:00.000,5756.7
2025-10-24,2025-10-24 21:15:00.000,8706.97
2025-10-24,2025-10-24 21:30:00.000,4966.7
2025-10-24,2025-10-24 21:45:00.000,8244.19
2025-10-24,2025-10-24 22:00:00.000,2387.27
2025-10-24,2025-10-24 22:15:00.000,4065.74
2025-10-24,2025-10-24 22:30:00.000,5968.12
2025-10-24,2025-10-24 22:45:00.000,1425.82
2025-10-24,2025-10-24 23:00:00.000,4138.19
2025-10-24,2025-10-24 23:15:00.000,318.74
2025-10-24,2025-10-24 23:30:00.000,92.07
2025-10-24,2025-10-24 23:45:00.000,1617.65
2025-10-25,2025-10-25 00:00:00.000,316.66
2025-10-25,2025-10-25 00:15:00.000,204.96
2025-10-25,2025-10-25 00:30:00.000,112.05
2025-10-25,2025-10-25 00:45:00.000,201.42
2025-10-25,2025-10-25 01:00:00.000,21.73
2025-10-25,2025-10-25 01:45:00.000,88.06
2025-10-25,2025-10-25 02:00:00.000,33.97
2025-10-25,2025-10-25 04:15:00.000,99.8
2025-10-25,2025-10-25 04:30:00.000,6.9
2025-10-25,2025-10-25 05:30:00.000,224.33
2025-10-25,2025-10-25 05:45:00.000,21.99
2025-10-25,2025-10-25 06:00:00.000,44.99
2025-10-25,2025-10-25 06:15:00.000,73.34
2025-10-25,2025-10-25 06:30:00.000,109.88
2025-10-25,2025-10-25 06:45:00.000,1027.04
2025-10-25,2025-10-25 07:00:00.000,3082.96
2025-10-25,2025-10-25 07:15:00.000,6414.34
2025-10-25,2025-10-25 07:30:00.000,4653.21
2025-10-25,2025-10-25 07:45:00.000,3136.67
2025-10-25,2025-10-25 08:00:00.000,6007.88
2025-10-25,2025-10-25 08:15:00.000,4529.55
2025-10-25,2025-10-25 08:30:00.000,7504.72
2025-10-25,2025-10-25 08:45:00.000,4931.69
2025-10-25,2025-10-25 09:00:00.000,10241.2
2025-10-25,2025-10-25 09:15:00.000,7209.69
2025-10-25,2025-10-25 09:30:00.000,10735.13
2025-10-25,2025-10-25 09:45:00.000,9131.8
2025-10-25,2025-10-25 10:00:00.000,11998.61
2025-10-25,2025-10-25 10:15:00.000,9573.64
2025-10-25,2025-10-25 10:30:00.000,17509.43
2025-10-25,2025-10-25 10:45:00.000,12343.28
2025-10-25,2025-10-25 11:00:00.000,12194.42
2025-10-25,2025-10-25 11:15:00.000,11634.28
2025-10-25,2025-10-25 11:30:00.000,22814.5
2025-10-25,2025-10-25 11:45:00.000,13071.02
2025-10-25,2025-10-25 12:00:00.000,10504.65
2025-10-25,2025-10-25 12:15:00.000,11244.53
2025-10-25,2025-10-25 12:30:00.000,13688.18
2025-10-25,2025-10-25 12:45:00.000,10943.99
2025-10-25,2025-10-25 13:00:00.000,7641.32
2025-10-25,2025-10-25 13:15:00.000,7549.45
2025-10-25,2025-10-25 13:30:00.000,7159.91
2025-10-25,2025-10-25 13:45:00.000,10796.92
2025-10-25,2025-10-25 14:00:00.000,10214.75
2025-10-25,2025-10-25 14:15:00.000,9186.61
2025-10-25,2025-10-25 14:30:00.000,10541.62
2025-10-25,2025-10-25 14:45:00.000,9118.23
2025-10-25,2025-10-25 15:00:00.000,15077.56
2025-10-25,2025-10-25 15:15:00.000,10839.57
2025-10-25,2025-10-25 15:30:00.000,7398.21
2025-10-25,2025-10-25 15:45:00.000,4190.95
2025-10-25,2025-10-25 16:00:00.000,8910.29
2025-10-25,2025-10-25 16:15:00.000,4363.32
2025-10-25,2025-10-25 16:30:00.000,5949.18
2025-10-25,2025-10-25 16:45:00.000,7152.24
2025-10-25,2025-10-25 17:00:00.000,5671.41
2025-10-25,2025-10-25 17:15:00.000,4085.77
2025-10-25,2025-10-25 17:30:00.000,8467.43
2025-10-25,2025-10-25 17:45:00.000,5672.76
2025-10-25,2025-10-25 18:00:00.000,6639.83
2025-10-25,2025-10-25 18:15:00.000,10206.9
2025-10-25,2025-10-25 18:30:00.000,11568.7
2025-10-25,2025-10-25 18:45:00.000,5802.66
2025-10-25,2025-10-25 19:00:00.000,7941.96
2025-10-25,2025-10-25 19:15:00.000,10846.47
2025-10-25,2025-10-25 19:30:00.000,5335.45
2025-10-25,2025-10-25 19:45:00.000,9117.1
2025-10-25,2025-10-25 20:00:00.000,10568.23
2025-10-25,2025-10-25 20:15:00.000,5755.9
2025-10-25,2025-10-25 20:30:00.000,6760.54
2025-10-25,2025-10-25 20:45:00.000,6597.17
2025-10-25,2025-10-25 21:00:00.000,5614.57
2025-10-25,2025-10-25 21:15:00.000,4723.3
2025-10-25,2025-10-25 21:30:00.000,5407.46
2025-10-25,2025-10-25 21:45:00.000,2944.33
2025-10-25,2025-10-25 22:00:00.000,7098.42
2025-10-25,2025-10-25 22:15:00.000,1349.99
2025-10-25,2025-10-25 22:30:00.000,2781.33
